,Student ID,TA Name,Course Name,Semester,Grade,Attendance,Homework Submissions,Midterm Score,Final Score,TA Feedback,label
0,432,Jane Doe,Physics II,2021,A+,95,15,95,95,1,1
1,796,John Smith,Statistics II,2021,A,75,10,85,20,0,1
2,805,Dave Thompson,Statistics II,2021,C,85,10,80,95,0,1
3,330,Alice White,Chemistry I,2021,C,75,10,80,20,0,1
4,276,Dave Thompson,Physics II,2021,B,90,15,95,90,1,1
5,422,Bob Johnson,Chemistry I,2021,B+,85,10,90,100,0,1
6,937,John Smith,Chemistry I,2021,C,75,20,95,100,1,1
7,727,Bob Johnson,Biology III,2021,A+,90,15,95,20,1,1
8,880,Dave Thompson,Calculus I,2021,A+,95,10,80,100,1,1
9,892,Alice White,Physics II,2021,C,90,10,80,95,1,1
10,958,Dave Thompson,Calculus I,2021,A,95,20,85,95,1,1
11,747,Jane Doe,Biology III,2021,B,95,10,95,100,1,1
12,148,Dave Thompson,Calculus I,2021,A,90,15,95,20,1,1
13,919,Dave Thompson,Biology III,2021,B,95,20,95,95,0,1
14,50,Dave Thompson,Statistics II,2021,C,90,20,95,100,0,1
15,133,Dave Thompson,Biology III,2021,A,85,10,95,10,0,1
16,700,Alice White,Physics II,2021,C,85,15,80,100,1,1
17,987,John Smith,Statistics II,2021,B,85,10,80,10,0,1
18,585,Alice White,Chemistry I,2021,A+,80,10,95,10,0,1
19,811,Bob Johnson,Physics II,2021,A,75,20,85,20,0,1
20,894,Jane Doe,Physics II,2021,C,85,10,95,100,1,1
21,105,John Smith,Physics II,2021,B,95,15,85,20,0,1
22,292,Jane Doe,Calculus I,2021,A+,95,10,95,90,0,1
23,232,Jane Doe,Calculus I,2021,A,85,20,85,20,1,1
24,101,John Smith,Chemistry I,2021,B,95,15,85,95,1,1
25,259,John Smith,Calculus I,2021,A,85,10,90,10,1,1
26,957,Bob Johnson,Physics II,2021,A,85,10,85,20,0,1
27,950,Alice White,Biology III,2021,B+,75,15,95,100,1,1
28,292,John Smith,Chemistry I,2021,C,75,10,80,20,0,1
29,112,Bob Johnson,Chemistry I,2021,B+,90,20,95,95,1,1
30,45,Dave Thompson,Physics II,2021,A,75,20,95,20,1,1
31,483,John Smith,Statistics II,2021,B,90,10,80,10,0,1
32,612,Alice White,Calculus I,2021,C,90,15,95,100,0,1
33,157,Dave Thompson,Statistics II,2021,B,80,15,95,95,1,1
34,225,Dave Thompson,Physics II,2021,B,75,20,85,100,1,1
35,922,Dave Thompson,Statistics II,2021,A+,75,10,80,20,0,1
36,904,Dave Thompson,Physics II,2021,A,75,20,85,10,0,1
37,73,Jane Doe,Calculus I,2021,B,95,20,95,20,1,1
38,918,Alice White,Calculus I,2021,A,90,15,95,90,0,1
39,581,Bob Johnson,Chemistry I,2021,B+,75,20,80,100,0,1
40,172,John Smith,Statistics II,2021,B+,85,20,80,90,0,1
41,937,Bob Johnson,Statistics II,2021,B,95,10,95,95,0,1
42,420,Jane Doe,Statistics II,2021,A,95,15,80,95,0,1
43,736,Dave Thompson,Statistics II,2021,A+,80,20,80,95,0,1
44,414,John Smith,Biology III,2021,C,80,15,80,10,0,1
45,561,Alice White,Chemistry I,2021,B+,90,10,85,95,1,1
46,236,John Smith,Chemistry I,2021,B+,90,10,95,10,1,1
47,621,John Smith,Biology III,2021,A+,75,15,80,10,0,1
48,887,Bob Johnson,Statistics II,2021,B,75,15,85,100,0,1
49,785,Dave Thompson,Biology III,2021,B+,95,15,90,90,0,0
50,670,Alice White,Statistics II,2021,B+,95,10,85,95,0,1
51,239,John Smith,Biology III,2021,C,90,15,95,90,0,1
52,380,Jane Doe,Chemistry I,2021,A+,95,20,90,100,0,1
53,457,Jane Doe,Biology III,2021,A+,90,10,85,95,1,1
54,516,Dave Thompson,Physics II,2021,A,80,20,95,20,0,1
55,204,John Smith,Statistics II,2021,A+,85,10,80,95,0,1
56,419,Dave Thompson,Biology III,2021,C,80,15,95,20,0,1
57,84,John Smith,Statistics II,2021,A+,80,10,95,100,0,1
58,913,Alice White,Calculus I,2021,A,80,10,80,90,0,1
59,214,Jane Doe,Statistics II,2021,C,85,10,80,95,0,1
60,391,Bob Johnson,Biology III,2021,B+,75,10,85,90,0,1
61,359,Dave Thompson,Statistics II,2021,B,75,15,80,20,0,1
62,373,Alice White,Physics II,2021,B+,75,10,90,20,0,1
63,574,Jane Doe,Physics II,2021,A,95,20,80,20,1,1
64,58,Alice White,Biology III,2021,C,75,15,95,20,0,1
65,684,Bob Johnson,Biology III,2021,B+,95,20,90,20,1,1
66,826,John Smith,Statistics II,2021,A,90,20,95,20,0,1
